0.200	0.306
0.233	0.309
0.267	0.313
0.300	0.316
0.333	0.319
0.367	0.322
0.400	0.324
0.433	0.326
0.467	0.327
0.500	0.329
0.533	0.329
0.567	0.328
0.600	0.327
0.633	0.326
0.667	0.324
0.700	0.321
0.733	0.319
0.767	0.316
0.800	0.312
0.833	0.309
0.867	0.305
0.900	0.302
0.933	0.298
0.967	0.294
1.000	0.291
1.033	0.287
1.067	0.287
1.100	0.284
1.133	0.278
1.167	0.276
1.200	0.273
1.233	0.272
1.267	0.270
1.300	0.269
1.333	0.268
1.367	0.268
1.400	0.268
1.433	0.268
1.467	0.268
1.500	0.269
1.533	0.270
1.567	0.272
1.600	0.274
1.633	0.276
1.667	0.278
1.700	0.281
1.733	0.284
1.767	0.287
1.800	0.291
1.833	0.294
1.867	0.297
1.900	0.300
1.933	0.303
1.967	0.306
2.000	0.309
2.033	0.312
2.067	0.312
2.100	0.314
2.133	0.318
2.167	0.319
2.200	0.320
2.233	0.321
2.267	0.321
2.300	0.321
2.333	0.321
2.367	0.321
2.400	0.321
2.433	0.320
2.467	0.319
2.500	0.317
2.533	0.316
2.567	0.314
2.600	0.311
2.633	0.309
2.667	0.306
2.700	0.303
2.733	0.301
2.767	0.298
2.800	0.295
2.833	0.292
2.867	0.290
2.900	0.287
2.933	0.285
2.967	0.282
3.000	0.280
3.033	0.279
3.067	0.279
3.100	0.277
3.133	0.276
3.167	0.274
3.200	0.274
3.233	0.274
3.267	0.274
3.300	0.274
3.333	0.275
3.367	0.276
3.400	0.278
3.433	0.279
3.467	0.281
3.500	0.283
3.533	0.285
3.567	0.288
3.600	0.290
3.633	0.292
3.667	0.295
3.700	0.297
3.733	0.300
3.767	0.302
3.800	0.304
3.833	0.306
3.867	0.308
3.900	0.309
3.933	0.311
3.967	0.312
4.000	0.313
4.033	0.314
4.067	0.314
4.100	0.315
4.133	0.315
4.167	0.315
4.200	0.315
4.233	0.315
4.267	0.314
4.300	0.314
4.333	0.313
